SKU,Name,Method of Delivery,Product Family,Product Group,url in dealershop
NWG-WGA130000,WatchGuard AP130 Appliance Only,Physical,Access Points,AP130,https://partner.leadersystems.com.au/products.html?6EVpuIu6FoM=c/1I+JS+hHPXuIbDqHRnKA==S/EIT5FjrgNA/g+xAdkFN4e2/9DB
NWG-WGA13003309,Points Activation Bundle for WatchGuard AP130,Electronic,Access Points,AP130,https://partner.leadersystems.com.au/products.html?yAzYavclIqk=lzwCaxrwcwXdfCgC7ZPmPA==b1DwcVrr6RrpknTCLgvZ5V+Rq2YGye4=
NWG-WGA13022001,USP Wi-Fi Management for WatchGuard AP130 - 1-year,Electronic,Access Points,AP130,https://partner.leadersystems.com.au/products.html?05CIyAlPwgo=L4jjdA+tOUXFIUa5PMLmCg==pyhK1GTyQfETiwSSk/4JMaU6g1E2gM4=
NWG-WGA13022003,USP Wi-Fi Management for WatchGuard AP130 - 3-year,Electronic,Access Points,AP130,https://partner.leadersystems.com.au/products.html?S3cQyhteXgA=2gAKUjos+znskMYpO15UAA==nUsluvX6B6kQY10YTz7UUe4H9JAlCEk=
NWG-WGA13022005,USP Wi-Fi Management for WatchGuard AP130 - 5-year,Electronic,Access Points,AP130,https://partner.leadersystems.com.au/products.html?uZBEMS3R/K8=wZIHpi7ZbJha7MXUa7ZSnw==s/16nR1vIqM2CT3k32/EDUZqkFElOfQ=
NWG-WGA13022101,Standard Wi-Fi Management for WatchGuard AP130 - 1-year,Electronic,Access Points,AP130,https://partner.leadersystems.com.au/products.html?ZpBbzuuqUjw=I48J6YiYTqIFTe6m2WzXaQ==Z7CEBZkEEi2s9VhA62F91xcB29+dJqw=
NWG-WGA13022103,Standard Wi-Fi Management for WatchGuard AP130 - 3-year,Electronic,Access Points,AP130,https://partner.leadersystems.com.au/products.html?L8qp9tbwA8I=Gs/zPdzuYNMjRr6c33qbtA==HkBWdXQkwor9G/mx29ZeKX5Xl502c10=
NWG-WGA13022105,Standard Wi-Fi Management for WatchGuard AP130 - 5-year,Electronic,Access Points,AP130,https://partner.leadersystems.com.au/products.html?i/fSLK/L3q4=eQPzehxEClHcK5M7vXOE8w==YmrqrgWjpYMz908IgMlAO0uqW64yXGA=
NWG-WGA230000,WatchGuard AP230W Appliance Only,Physical,Access Points,AP230W,https://partner.leadersystems.com.au/products.html?+hOXrde1yiM=WC55myYIzjlg0eaWGvZ8sw==/l2iKm/jCydEbz4Mjz4xm3FenpL7
NWG-WGA23003309,Points Activation Bundle for WatchGuard AP230W,Electronic,Access Points,AP230W,https://partner.leadersystems.com.au/products.html?sO/btSyWcnI=+rmtfw6/cRKMD2eFCVJ9ZQ==oQieSOQjkhOoPJdBgrV/jn2/zVMV1ME=
NWG-WGA23022001,USP Wi-Fi Management for WatchGuard AP230W - 1-year,Electronic,Access Points,AP230W,https://partner.leadersystems.com.au/products.html?7WwUGd6Ictw=QW6rLQ1LZ+SYs4uIzqSsNA==y2gyOhztuKqpwafQjWZMAeIT3knhM5E=
NWG-WGA23022003,USP Wi-Fi Management for WatchGuard AP230W - 3-year,Electronic,Access Points,AP230W,https://partner.leadersystems.com.au/products.html?szs59hoV2UM=Nx7R4lIk/yN9DYwjJHos7w==KlBi+eV1b54OR1MLYQVbdNKN9l3bnyg=
