STOCK CODE,SUBCATEGORY NAME,SHORT DESCRIPTION,IMAGE,MANUFACTURER,MANUFACTURER SKU,DBP,RRP
NWG-WGCME353,Subscriptions & Licensing,WatchGuard Total Security Suite Renewal/Upgrade 3-yr for Firebox Cloud Medium,https://www.leadersystems.com.au/Images/NWG-WGCME353.jpg,Watchguard,WGCME353,10733.0000,13617.0000
NWG-WGVSM261,Subscriptions & Licensing,WatchGuard Gold Support Renewal/Upgrade 1-yr for FireboxV Small,https://www.leadersystems.com.au/Images/NWG-WGVSM261.jpg,Watchguard,WGVSM261,453.0000,576.0000
NWG-WGVSM141,Subscriptions & Licensing,WatchGuard Reputation Enabled Defense 1-yr for FireboxV Small,https://www.leadersystems.com.au/Images/NWG-WGVSM141.jpg,Watchguard,WGVSM141,458.0000,582.0000
NWG-WGVME331,Subscriptions & Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for FireboxV Medium,https://www.leadersystems.com.au/Images/NWG-WGVME331.jpg,Watchguard,WGVME331,2174.0000,2758.0000
NWG-WGVLG351,Subscriptions & Licensing,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for FireboxV Large,https://www.leadersystems.com.au/Images/NWG-WGVLG351.jpg,Watchguard,WGVLG351,9308.0000,11810.0000
NWG-WG561201,Subscriptions & Licensing,WatchGuard Standard Support Renewal 1-yr for Firebox M5600,https://www.leadersystems.com.au/Images/NWG-WG561201.jpg,Watchguard,WG561201,8893.0000,11283.0000
NWG-WGMRA503,Firewalls & Network Security,WatchGuard Dimension Command 3-yr for Mid-Range Appliance,https://www.leadersystems.com.au/Images/NWG-WGMRA503.jpg,Watchguard,WGMRA503,613.0000,778.0000
NWG-WGCSM171,Cloud & Server Security,WatchGuard APT Blocker 1-yr for Firebox Cloud Small,https://www.leadersystems.com.au/Images/NWG-WGCSM171.jpg,Watchguard,WGCSM171,458.0000,582.0000
NWG-WGCSM131,Subscriptions & Licensing,WatchGuard Intrusion Prevention Service 1-yr for Firebox Cloud Small,https://www.leadersystems.com.au/Images/NWG-WGCSM131.jpg,Watchguard,WGCSM131,458.0000,582.0000
NWG-WGCLG141,Subscriptions & Licensing,WatchGuard Reputation Enabled Defense 1-yr for Firebox Cloud Large,https://www.leadersystems.com.au/Images/NWG-WGCLG141.jpg,Watchguard,WGCLG141,2267.0000,2876.0000
NWG-WGVSM333,Subscriptions & Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 3-yr for FireboxV Small,https://www.leadersystems.com.au/Images/NWG-WGVSM333.jpg,Watchguard,WGVSM333,2168.0000,2750.0000
NWG-WGVSM171,Cloud & Server Security,WatchGuard APT Blocker 1-yr for FireboxV Small,https://www.leadersystems.com.au/Images/NWG-WGVSM171.jpg,Watchguard,WGVSM171,458.0000,582.0000
NWG-WGVME131,Subscriptions & Licensing,WatchGuard Intrusion Prevention Service 1-yr for FireboxV Medium,https://www.leadersystems.com.au/Images/NWG-WGVME131.jpg,Watchguard,WGVME131,1065.0000,1352.0000
NWG-WGM47351,Subscriptions & Licensing,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for M470,https://www.leadersystems.com.au/Images/NWG-WGM47351.jpg,Watchguard,WGM47351,6782.0000,8604.0000
NWG-WGT15141,Subscriptions & Licensing,WatchGuard Reputation Enabled Defense 1-yr for Firebox T15,https://www.leadersystems.com.au/Images/NWG-WGT15141.jpg,Watchguard,WGT15141,136.0000,173.0000
NWG-WGVXL151,Subscriptions & Licensing,WatchGuard Application Control 1-yr for FireboxV XLarge,https://www.leadersystems.com.au/Images/NWG-WGVXL151.jpg,Watchguard,WGVXL151,4533.0000,5752.0000
NWG-WGM37131,Subscriptions & Licensing,WatchGuard Intrusion Prevention Service 1-yr for Firebox M370,https://www.leadersystems.com.au/Images/NWG-WGM37131.jpg,Watchguard,WGM37131,818.0000,1038.0000
NWG-WGM67201,Subscriptions & Licensing,WatchGuard Standard Support Renewal 1-yr for Firebox M670,https://www.leadersystems.com.au/Images/NWG-WGM67201.jpg,Watchguard,WGM67201,2217.0000,2813.0000
NWG-WGCXL263,Subscriptions & Licensing,WatchGuard Gold Support Renewal/Upgrade 3-yr for Firebox Cloud XLarge,https://www.leadersystems.com.au/Images/NWG-WGCXL263.jpg,Watchguard,WGCXL263,10448.0000,13255.0000
NWG-WGCXL151,Subscriptions & Licensing,WatchGuard Application Control 1-yr for Firebox Cloud XLarge,https://www.leadersystems.com.au/Images/NWG-WGCXL151.jpg,Watchguard,WGCXL151,4533.0000,5752.0000
NWG-WGVSM353,Subscriptions & Licensing,WatchGuard Total Security Suite Renewal/Upgrade 3-yr for FireboxV Small,https://www.leadersystems.com.au/Images/NWG-WGVSM353.jpg,Watchguard,WGVSM353,4595.0000,5830.0000
NWG-WGVLG331,Subscriptions & Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for FireboxV Large,https://www.leadersystems.com.au/Images/NWG-WGVLG331.jpg,Watchguard,WGVLG331,4385.0000,5563.0000
NWG-WGVXL261,Subscriptions & Licensing,WatchGuard Gold Support Renewal/Upgrade 1-yr for FireboxV XLarge,https://www.leadersystems.com.au/Images/NWG-WGVXL261.jpg,Watchguard,WGVXL261,4496.0000,5705.0000
